Code,iso3,Country,code_note,Value2021,Share2021,Value2023,Share2023,abs_change,pct_change,status
PRY,PRY,Paraguay,,846784.23926,0.002885153408391011,266831.18836,0.001030536451400969,-579953.0508999999,-68.48888111177148,Present in both years
PSE,PSE,West Bank and Gaza,,68.00406,2.3170264206250078e-07,141.0,5.445601788179835e-07,72.99594,107.34056172528523,Present in both years
PYF,PYF,French Polynesia,,4.71348,1.6059714218662182e-08,0.0,0.0,-4.71348,-100.0,Only in 2021 (no 2023 mirror data)
QAT,QAT,Qatar,,51456.62194,0.000175322403619861,6950.736023,2.684463866384028e-05,-44505.885917,-86.49204755200455,Present in both years
ROM,ROU,Romania,(legacy WITS/Comtrade code; standard ISO3 is 'ROU'),1590333.78845,0.005418566781823486,255472.84505,0.0009866690651316808,-1334860.9434000002,-83.93589780300188,Present in both years
RWA,RWA,Rwanda,,5294.2431,1.803848349629661e-05,0.0,0.0,-5294.2431,-100.0,Only in 2021 (no 2023 mirror data)
SAU,SAU,Saudi Arabia,,335360.38239,0.001142635993245897,18617.743535,7.190412587664508e-05,-316742.63885499997,-94.44843681226814,Present in both years
SEN,SEN,Senegal,,3558.36316,1.2124013560217864e-05,27.202626,1.0506004878637394e-07,-3531.160534,-99.2355297990439,Present in both years
SER,SRB,Serbia,(legacy WITS/Comtrade code; standard ISO3 is 'SRB'),1057343.46189,0.003602568342058167,1194812.92,0.0046145215416257945,137469.45811,13.001400497079118,Present in both years
SGP,SGP,Singapore,,601335.05081,0.00204886178909708,138934.643166,0.0005365835044431892,-462400.407644,-76.89563530699655,Present in both years
SGS,SGS,South Georgia and South Sandwich Islands,,0.0287,9.778630609986776e-11,0.0,0.0,-0.0287,-100.0,Only in 2021 (no 2023 mirror data)
SHN,SHN,Saint Helena,,23.80555,8.110999300263788e-08,0.0,0.0,-23.80555,-100.0,Only in 2021 (no 2023 mirror data)
SLB,SLB,Solomon Islands,,17.49,5.9591724518699895e-08,0.0,0.0,-17.49,-100.0,Only in 2021 (no 2023 mirror data)
SLE,SLE,Sierra Leone,,636.93396,2.1701539783261646e-06,0.0,0.0,-636.93396,-100.0,Only in 2021 (no 2023 mirror data)
SLV,SLV,El Salvador,,4843.80067,1.6503741289315834e-05,19.628,7.580586659460554e-08,-4824.17267,-99.59478101315015,Present in both years
SMR,SMR,San Marino,,11142.91735,3.796601835653753e-05,0.0,0.0,-11142.91735,-100.0,Only in 2021 (no 2023 mirror data)
SOM,SOM,Somalia,,233.68005,7.961919476910244e-07,0.0,0.0,-233.68005,-100.0,Only in 2021 (no 2023 mirror data)
SPM,SPM,St. Pierre and Miquelon,,0.03841,1.3087010513226203e-10,0.0,0.0,-0.03841,-100.0,Only in 2021 (no 2023 mirror data)
